云南移动
央视频道,#genre#
凤凰香港,http://223.110.236.3/ott.js.chinamobile.com/PLTV/3/224/3221228060/index.m3u8


陕西移动备用,#genre#
CCTV1,http://111.20.33.93/PLTV/88888893/224/3221226231/index.m3u8
CCTV2,http://111.20.33.93/PLTV/88888893/224/3221226195/index.m3u8
CCTV2,http://111.20.33.93/PLTV/88888893/224/3221226224/index.m3u8
CCTV3,http://111.20.33.93/PLTV/88888893/224/3221226397/index.m3u8
CCTV3,http://111.20.33.93/PLTV/88888893/224/3221226398/index.m3u8
CCTV4,http://111.20.33.93/PLTV/88888893/224/3221226191/index.m3u8
CCTV4,http://111.20.33.93/PLTV/88888893/224/3221226223/index.m3u8
CCTV5,http://111.20.33.93/PLTV/88888893/224/3221226396/index.m3u8
CCTV5+,http://111.20.33.93/PLTV/88888893/224/3221226221/index.m3u8
CCTV5+,http://111.20.33.93/PLTV/88888893/224/3221226345/index.m3u8
CCTV6,http://111.20.33.93/PLTV/88888893/224/3221226393/index.m3u8
CCTV6,http://111.20.33.93/PLTV/88888893/224/3221226394/index.m3u8
CCTV7,http://111.20.33.93/PLTV/88888893/224/3221226192/index.m3u8
CCTV8,http://111.20.33.93/PLTV/88888893/224/3221226391/index.m3u8
CCTV8,http://111.20.33.93/PLTV/88888893/224/3221226407/index.m3u8
CCTV9,http://111.20.33.93/PLTV/88888893/224/3221226197/index.m3u8
CCTV10,http://111.20.33.93/PLTV/88888893/224/3221226189/index.m3u8
CCTV11,http://111.20.33.93/PLTV/88888893/224/3221226240/index.m3u8
CCTV12,http://111.20.33.93/PLTV/88888893/224/3221226190/index.m3u8
CCTV13,http://111.20.33.93/PLTV/88888893/224/3221226233/index.m3u8
CCTV14,http://111.20.33.93/PLTV/88888893/224/3221226193/index.m3u8
CCTV17,http://111.20.33.93/PLTV/88888893/224/3221226198/index.m3u8
CCTV17,http://111.20.33.93/PLTV/88888893/224/3221226208/index.m3u8
CCTV女性时尚,http://111.20.33.93/PLTV/88888893/224/3221226237/index.m3u8

卫视频道#
浙江卫视,http://111.20.33.93/PLTV/88888893/224/3221226199/index.m3u8
天津卫视,http://111.20.33.93/PLTV/88888893/224/3221226204/index.m3u8
湖南卫视,http://111.20.33.93/PLTV/88888893/224/3221226211/index.m3u8
东方卫视,http://111.20.33.93/PLTV/88888893/224/3221226217/index.m3u8
江苏卫视,http://111.20.33.93/PLTV/88888893/224/3221226200/index.m3u8
辽宁卫视,http://111.20.33.93/PLTV/88888893/224/3221226210/index.m3u8
北京卫视,http://111.20.33.93/PLTV/88888893/224/3221226222/index.m3u8
广东卫视,http://111.20.33.93/PLTV/88888893/224/3221226216/index.m3u8
湖北卫视,http://111.20.33.93/PLTV/88888893/224/3221226194/index.m3u8
湖北卫视,http://111.20.33.93/PLTV/88888893/224/3221226206/index.m3u8
山东卫视,http://111.20.33.93/PLTV/88888893/224/3221226209/index.m3u8
深圳卫视,http://111.20.33.93/PLTV/88888893/224/3221226205/index.m3u8
安徽卫视,http://111.20.33.93/PLTV/88888893/224/3221226196/index.m3u8
安徽卫视,http://111.20.33.93/PLTV/88888893/224/3221226203/index.m3u8
黑龙江卫视,http://111.20.33.93/PLTV/88888893/224/3221226215/index.m3u8
湖南金鹰纪实,http://111.20.33.93/PLTV/88888893/224/3221226351/index.m3u8
上海纪实人文,http://111.20.33.93/PLTV/88888893/224/3221226230/index.m3u8
北京冬奥纪实,http://111.20.33.93/PLTV/88888893/224/3221226232/index.m3u8

电影频道#
CHC动作电影,http://111.20.33.93/PLTV/88888893/224/3221226465/index.m3u8
